2025-03-04 14:28:46.1432 | INFO | Application Starting... 
2025-03-04 14:28:47.4866 | INFO | Now listening on: https://localhost:7286 
2025-03-04 14:28:47.5086 | INFO | Now listening on: http://localhost:5277 
2025-03-04 14:28:47.6491 | INFO | Application started. Press Ctrl+C to shut down. 
2025-03-04 14:28:47.6491 | INFO | Hosting environment: Development 
2025-03-04 14:28:47.6491 | INFO | Content root path: C:\Users\HP\OneDrive\Desktop\HelloGreetingApplication\HelloGreetingApplication\ 
2025-03-04 14:28:49.4159 | INFO | Request starting HTTP/2 GET https://localhost:7286/swagger/index.html - - 
2025-03-04 14:28:50.1629 | INFO | Request finished HTTP/2 GET https://localhost:7286/swagger/index.html - - - 200 - text/html;charset=utf-8 755.0138ms 
2025-03-04 14:28:50.1891 | INFO | Request starting HTTP/2 GET https://localhost:7286/_vs/browserLink - - 
2025-03-04 14:28:50.1891 | INFO | Request starting HTTP/2 GET https://localhost:7286/swagger/index.js - - 
2025-03-04 14:28:50.1891 | INFO | Request starting HTTP/2 GET https://localhost:7286/_framework/aspnetcore-browser-refresh.js - - 
2025-03-04 14:28:50.1948 | INFO | Request finished HTTP/2 GET https://localhost:7286/swagger/index.js - - - 200 - application/javascript;charset=utf-8 4.9160ms 
2025-03-04 14:28:50.1948 | INFO | Request finished HTTP/2 GET https://localhost:7286/_framework/aspnetcore-browser-refresh.js - - - 200 12380 application/javascript;+charset=utf-8 12.5479ms 
2025-03-04 14:28:50.3126 | INFO | Request finished HTTP/2 GET https://localhost:7286/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 123.5111ms 
2025-03-04 14:28:50.5800 | INFO | Request starting HTTP/2 GET https://localhost:7286/swagger/v1/swagger.json - - 
2025-03-04 14:28:50.5916 | INFO | Request finished HTTP/2 GET https://localhost:7286/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 11.7449ms 
